Year,Total,Austria,Hungary,Belgium,Bulgaria,Czechoslovakia,Denmark,Finland,France,Germany,Greece,Ireland,Italy,Netherlands,Norway,Sweden,Poland,Portugal,Romania,Russia,Spain,Switzerland,UnitedKingdom,Yugoslavia,China,HongKong,India,Iran,Israel,Japan,Jordan,Korea,Philippines,Syria,Taiwan,Turkey,Vietnam,CanadaandNewfoundland,Mexico,Caribbean,Cuba,DominicanRepublic,Haiti,Jamaica,CentralAmerica,Belize,CostaRica,ElSalvador,Guatemala,Honduras,Nicaragua,Panama,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,Africa,Egypt,Ethiopia,Liberia,Morocco,SouthAfrica,Oceania,Australia,NewZealand
1820 to 1829,128502,0,0,28,0,0,173,0,7694,5753,17,51617,430,1105,0,0,19,252,0,86,2866,3148,26336,0,3,0,9,0,0,0,0,0,0,0,0,19,0,2297,3835,3061,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,2,2,0
1830 to 1839,538381,0,0,20,0,0,927,0,39330,124726,49,170672,2225,1377,0,0,366,896,0,280,2016,4430,74350,0,8,0,38,0,0,0,0,0,0,0,0,8,0,11875,7187,11792,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,8,4,0,1,1,0
1840 to 1849,1427337,0,0,3996,0,0,671,0,75300,385434,17,656145,1476,7624,0,0,105,359,0,520,1917,4819,218572,0,32,0,33,7,0,0,0,0,0,0,0,45,0,34285,3069,11803,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,5,1,0,3,2,0
1850 to 1859,2814554,0,0,5765,0,0,3227,0,81778,976072,32,1029486,8643,11122,0,0,1087,4218,0,423,8803,24423,445322,0,35933,0,42,0,0,0,0,0,0,0,0,94,0,64171,3446,12447,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,5,0,7,0,0,110,104,2
1860 to 1869,2081261,2700,483,5785,0,0,13553,3,35938,723734,51,427419,9853,8387,0,0,1886,4741,0,1667,6970,21124,532956,0,54028,0,50,4,0,138,0,0,0,2,0,129,0,117975,1957,8809,3420,0,78,61,70,9,2,0,1,0,0,0,7,0,32,25,2,0,41,0,35,0,0,36,458,8,0,43,0,79,107,96,6
1870 to 1879,2742137,54529,5598,6991,0,0,29278,286,71901,751769,209,422264,46296,14267,88644,90179,11016,13990,0,34977,5571,25212,578447,0,133139,0,166,17,0,193,0,0,4,7,0,382,0,323974,5133,14592,8705,0,149,257,202,26,4,3,10,11,1,0,58,5,219,92,196,7,95,2,127,0,22,190,441,29,0,52,15,48,9094,8933,39
1880 to 1889,5248568,204805,109982,18738,0,0,85342,9617,48193,1445181,1807,674061,267660,52715,185111,401330,42910,15189,5842,173081,3999,81151,810900,0,65797,0,247,18,0,1583,0,0,1,140,0,2478,0,492508,2405,27600,20134,0,124,355,359,80,1,0,3,4,1,0,64,0,199,44,1210,14,68,0,25,0,4,248,768,145,0,21,12,23,7341,7250,21
1890 to 1899,3694294,268218,203350,19642,52,0,56671,36719,35616,579072,12732,405710,603761,29349,96810,237248,107793,25874,6808,413382,9189,37020,328759,0,15268,0,102,26,0,13998,0,0,19,0,0,27510,0,2668,734,31885,23669,0,101,223,674,25,4,7,9,4,3,0,36,0,92,66,607,33,27,0,79,0,144,0,432,51,0,9,9,9,3279,3098,12
1900 to 1909,8202388,532416,685567,37429,34651,0,61227,0,67735,328722,145402,344940,1930475,42463,182542,244439,0,65154,57322,1501301,24818,32541,469518,0,19884,0,3026,0,0,139712,0,0,605,0,0,127999,0,123067,31188,100960,0,0,0,0,7341,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6326,0,0,0,0,0,11677,11191,0
1910 to 1919,6347380,589174,565553,32574,27180,0,45830,0,60335,174227,198108,166445,1229916,46065,79488,112957,0,82489,13566,1106998,53262,22839,371878,0,20916,0,3478,0,0,77125,0,0,0,0,0,160717,0,708715,185334,120860,0,0,0,0,15692,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8867,0,0,0,0,0,12339,11280,0
