Country ,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,,,
Austria,,,,,"2,700","54,529","204,805","268,218","532,416","589,174","31,392","6,678","8,496","81,354","17,571"," 14,239 "," 15,374 "," 18,234 "," 21,151 "," 3,319 ","3,654"," 2,199 ","1,053",,,
Hungary,,,,,483,"5,598","109,982","203,350","685,567","565,553","29,499","7,224","5,181","31,661","10,019"," 6,148 "," 5,063 "," 9,295 "," 12,778 "," 1,006 ","1,049"," 1,009 ","1,008",,,
Belgium,28,20,"3,996","5,765","5,785","6,991","18,738","19,642","37,429","32,574","21,511","4,013","12,473","18,885","9,647"," 5,413 "," 7,028 "," 7,077 "," 8,157 ", 732 ,700, 698 ,803,,,
Bulgaria,,,,,,,,52,"34,651","27,180","2,824","1,062",449,97,598," 1,011 "," 1,124 "," 16,948 "," 40,003 "," 2,465 ","2,549"," 2,322 ","2,720",,,
Czechoslovakia,,,,,,,,,,,"101,182","17,757","8,475","1,624","2,758"," 5,654 "," 5,678 "," 8,970 "," 18,691 "," 1,510 ","1,374"," 1,316 ","1,258",,,
Denmark,173,927,671,"3,227","13,553","29,278","85,342","56,671","61,227","45,830","34,406","3,470","4,549","10,918","9,797"," 4,405 "," 4,847 "," 6,189 "," 6,049 ", 545 ,473, 492 ,546,,,
Finland,,,,,3,286,"9,617","36,719",,,"16,922","2,438","2,230","4,923","4,310"," 2,829 "," 2,569 "," 3,970 "," 3,970 ", 414 ,398, 373 ,360,,,
France,"7,694","39,330","75,300","81,778","35,938","71,901","48,193","35,616","67,735","60,335","54,842","13,761","36,954","50,113","46,975"," 27,018 "," 32,894 "," 36,552 "," 45,637 "," 4,339 ","3,967"," 4,201 ","4,668",,,
Germany,"5,753","124,726","385,434","976,072","723,734","751,769","1,445,181","579,072","328,722","174,227","386,634","117,736","119,403","576,905","209,616"," 77,142 "," 85,752 "," 92,207 "," 122,373 "," 7,929 ","7,072"," 6,732 ","6,880",,,
Greece,17,49,17,32,51,209,"1,807","12,732","145,402","198,108","60,774","10,599","8,605","45,153","74,173"," 102,370 "," 37,729 "," 25,403 "," 16,841 ", 966 ,"1,196"," 1,264 ","1,526",,,
Ireland,"51,617","170,672","656,145","1,029,486","427,419","422,264","674,061","405,710","344,940","166,445","201,644","28,195","15,701","47,189","37,788"," 11,461 "," 22,210 "," 65,384 "," 15,642 "," 1,610 ","1,533"," 1,694 ","1,765",,,
Italy,430,"2,225","1,476","8,643","9,853","46,296","267,660","603,761","1,930,475","1,229,916","528,133","85,053","50,509","189,061","200,111"," 150,031 "," 55,562 "," 75,992 "," 28,329 "," 2,956 ","2,670"," 2,946 ","3,233",,,
Netherlands,"1,105","1,377","7,624","11,122","8,387","14,267","52,715","29,349","42,463","46,065","29,397","7,791","13,877","46,703","37,918"," 10,373 "," 11,234 "," 13,345 "," 17,351 "," 1,520 ","1,258"," 1,294 ","1,376",,,
Norway,,,,,,"88,644","185,111","96,810","182,542","79,488","70,327","6,901","8,326","22,813","17,371"," 3,927 "," 3,835 "," 5,211 "," 4,599 ", 363 ,405, 314 ,389,,,
Sweden,,,,,,"90,179","401,330","237,248","244,439","112,957","100,002","6,551","9,000","21,418","18,779"," 6,371 "," 10,106 "," 12,614 "," 14,783 "," 1,299 ","1,125"," 1,127 ","1,276",,,
Poland,19,366,105,"1,087","1,886","11,016","42,910","107,793",,,"224,420","26,460","7,774","6,498","55,773"," 33,699 "," 63,483 "," 172,249 "," 117,921 "," 7,391 ","6,634"," 6,024 ","6,073",,,
Portugal,252,896,359,"4,218","4,741","13,990","15,189","25,874","65,154","82,489","44,829","3,518","6,765","13,928","70,568"," 104,754 "," 42,685 "," 25,497 "," 11,479 ", 759 ,878, 837 ,917,,,
Romania,,,,,,,"5,842","6,808","57,322","13,566","67,810","5,264","1,254",914,"2,339"," 10,774 "," 24,753 "," 48,136 "," 52,154 "," 3,735 ","3,679"," 3,477 ","3,475",,,
Russia,86,280,520,423,"1,667","34,977","173,081","413,382","1,501,301","1,106,998","61,604","2,473",605,453,"2,329"," 28,132 "," 33,311 "," 433,427 "," 167,152 "," 7,502 ","8,548"," 10,114 ","10,154",,,
Spain,"2,866","2,016","1,917","8,803","6,970","5,571","3,999","9,189","24,818","53,262","47,109","3,669","2,774","6,880","40,793"," 41,718 "," 22,783 "," 18,443 "," 17,695 "," 2,040 ","2,319"," 2,316 ","2,970",,,
Switzerland,"3,148","4,430","4,819","24,423","21,124","25,212","81,151","37,020","32,541","22,839","31,772","5,990","9,904","17,577","19,193"," 8,536 "," 8,316 "," 11,768 "," 12,173 ", 868 ,861, 916 ,"1,040",,,
Yugoslavia,,,,,,,,,,,"49,215","6,920","2,039","6,966","17,990"," 31,862 "," 16,267 "," 57,039 "," 131,831 "," 4,772 ","4,611"," 4,488 ","4,445",,,
Other Europe,3,40,79,14,10,626,"1,070",145,514,"6,527","21,330","9,068","5,387","7,231","6,814"," 5,242 "," 3,447 "," 29,087 "," 290,871 "," 22,608 ","20,316"," 16,865 ","17,839",,,
China,3,8,32,"35,933","54,028","133,139","65,797","15,268","19,884","20,916","30,648","5,874","16,072","8,836","14,060"," 17,627 "," 170,897 "," 342,058 "," 591,711 "," 67,634 ","83,603"," 78,184 ","68,410",,,
